YEAR,STATE,AVG_SCORE,TEST_SUBJECT,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,$/STUDENT
2007,North Carolina,283.8806688,Mathematics,1416028.0,13063307,1184934,7481148,4397225,9.225316872265237
2007,North Dakota,291.5616119,Mathematics,96577.0,1045678,150165,355662,539851,10.827401969413007
2007,Ohio,284.8516395,Mathematics,1758645.0,22142424,1461326,9341723,11339375,12.590616070895491
2007,Oklahoma,274.5349894,Mathematics,639032.0,5491931,650579,2782356,2058996,8.594140825498567
2007,Oregon,283.8262772,Mathematics,559643.0,5648586,526411,2908595,2213580,10.093195126178653
2007,Pennsylvania,286.1668633,Mathematics,1760451.0,25334577,1821479,8593421,14919677,14.390958339652737
2007,Rhode Island,275.3869905,Mathematics,147861.0,2100679,165167,817792,1117720,14.207120200729063
2007,South Carolina,281.5036015,Mathematics,701580.0,7130274,680718,3120416,3329140,10.163165996750193
2007,South Dakota,288.4639253,Mathematics,121158.0,1136570,174096,371645,590829,9.3808910678618
2007,Tennessee,273.9787866,Mathematics,978084.0,7617488,805633,3342186,3469669,7.788173612900324
2007,Texas,285.8707084,Mathematics,4513835.0,44355326,4423644,15952564,23979118,9.826527996703469
2007,Utah,281.0874737,Mathematics,504079.0,3656090,343915,1977900,1334275,7.253009944869753
2007,Vermont,291.0107738,Mathematics,89329.0,1836316,97086,1237083,502147,20.556773276315642
2007,Virginia,287.625905,Mathematics,1220440.0,14176385,890144,5796043,7490198,11.61579840057684
2007,Washington,284.8628043,Mathematics,1026121.0,10350748,801339,6339782,3209627,10.0872587151028
2007,West Virginia,270.0840936,Mathematics,281298.0,2905489,353571,1677212,874706,10.328864762636066
2007,Wisconsin,285.6179425,Mathematics,870584.0,10154985,574090,5175386,4405509,11.66456654383724
2007,Wyoming,286.9877715,Mathematics,85034.0,1477891,111051,722364,644476,17.38000094080015
2005,Alabama,262.2111,Mathematics,729342.0,5889966,665924,3247562,1976480,8.075725791192609
2005,Alaska,278.9587094,Mathematics,132568.0,1599739,302846,878731,418162,12.06730885281516
2005,Arizona,274.30509,Mathematics,919875.0,7550109,897553,3320196,3332360,8.207755401549123
2005,Arkansas,271.6363484,Mathematics,461667.0,3978240,447012,2995788,535440,8.617120132043226
2005,California,268.5581286,Mathematics,6307022.0,62171797,7148863,34912166,20110768,9.857551947654535
2005,Colorado,280.8240073,Mathematics,765388.0,6910296,472246,2954915,3483135,9.028487512216026
2005,Connecticut,281.068953,Mathematics,552512.0,7898694,401558,2886076,4611060,14.295968232364183
2005,Delaware,280.9535428,Mathematics,112562.0,1431710,106513,894498,430699,12.719301362804499
2005,District of Columbia,245.2157808,Mathematics,62306.0,1109605,167922,0,941683,17.8089590087632
2005,Florida,274.0483769,Mathematics,2645280.0,23216404,2328513,9940813,10947078,8.776539345551322
2005,Georgia,272.1915644,Mathematics,1552758.0,14724731,1375318,6449103,6900310,9.48295291346108
2005,Hawaii,265.6293191,Mathematics,183185.0,2274166,236973,1986615,50578,12.41458634713541
2005,Idaho,280.9668966,Mathematics,253782.0,1796035,192039,1023550,580446,7.077077964552253
2005,Illinois,277.6722389,Mathematics,2072437.0,21611180,1835598,7152163,12623419,10.427906855552184
2005,Indiana,281.7149455,Mathematics,1014528.0,11653165,708922,5224277,5719966,11.486292147678526
2005,Iowa,283.8109288,Mathematics,478319.0,4638125,363930,2051926,2222269,9.696719135137847
2005,Kansas,284.0300535,Mathematics,468481.0,4223632,356865,2360120,1506647,9.015588679156679
2005,Kentucky,273.9830272,Mathematics,674502.0,5444309,646215,3121503,1676591,8.071598008604868
2005,Louisiana,267.7550308,Mathematics,717625.0,5975074,844640,2787542,2342892,8.326178714509668
2005,Maine,281.0585409,Mathematics,198745.0,2324789,197651,895595,1231543,11.697345845178495
2005,Maryland,277.9307946,Mathematics,865561.0,9906219,670998,3729262,5505959,11.444853684489019
2005,Massachusetts,291.5135411,Mathematics,955225.0,12976279,761359,5434971,6779949,13.584526158758408
